Couse Code,Course Name,Type of Elective,Year1,Pre-requisite ,Credits,Future Course Options,Subject,Course Description,Advisors note,  
ENG EC 560,Intro to Photonics,EE Breadth,Junior OR SENIOR,CAS PY 313,4,Not identified.,Optics and Photonics,Introduction to ray optics; matrix optics; wave optics; Fourier optics; electromagnetic optics including absorption and dispersion. Polarization$ reflection and refraction$ anisotropic media$ liquid crystals$ and polarization devices. Guided-wave and fiber optics. Nanophotonics.,NULL,  
ENG EC 562,Engineering Optics,EE Breadth,Junior OR SENIOR,Matlab (or equivalent environment) programming$ introductory electromagnetics$ calculus I and II$ vector calculus$ complex variables and functions$ linear algebra$ Fourier transforms.,4,ENG EC 591,Optics and Photonics,The goal of this course is to present a coherent formulation of wave propagation$ radiation and diffraction phenomena in arbitrary linear systems for the engineering design of optical devices in strong partnership with computer simulations and engineering-led design projects.,NULL,  
ENG EC 565,Electromagnetic Fundamentals,EE Breadth,Junior OR SENIOR,ENG EC 455,4,Not identified.,Electromagnetic & Electronic Design,Fundamentals of electromagnetic theory as deduced from Maxwell's equations and material modeling; electromagnetic radiation and quasistatic limits in electromagnetic modeling.,NULL,  
ENG EC 568,Optical Fibers and Waves Guides,EE Breadth,Junior OR SENIOR,ENG EC 455,4,Not identified.,Optics and Photonics,This course will introduce the optical fiber waveguide and its theory of operation. Specifically$ the design and impact of the two most important properties in optical fibers -- dispersion and nonlinearity -- that govern the evolution of light in optical fibers$ will be covered in detail. The latter part of the course will describe new fibers and fiber-structures that are active research topics today.,NULL,  
ENG EC 569,Intro to Subsurface Imaging ,EE Breadth,Junior OR SENIOR,Senior or graduate standing in ENG$ PY$ CH$ MA$ or CS.,4,Not identified.,Digital Signal Processing & Telecommunication,Introduction to subsurface imaging using electromagnetic$ optical$ X-ray$ and acoustic waves. Transverse and axial imaging using localized probes (confocal scanning$ time of flight$ and interferometric techniques).,NULL,  
ENG EC 570,Lasers and Applications,EE Breadth,Junior OR SENIOR,ENG EC 455,4,Not identified.,Optics and Photonics,Review of wave optics. Gaussian$ Hermite-Gaussian$ Laguerre-Gaussian$ and Bessel optical beams. Planar- and spherical-mirror resonators; microresonators. Photons and photon streams. Energy levels; absorption$ spontaneous emission$ and simulated emission. Thermal and scattered light. Laser amplification and gain saturation. Laser oscillation. Common lasers and introduction to pulsed lasers. Photon interactions in semiconductors. LEDs$ laser diodes$ quantum-confined lasers$ and microcavity lasers. Introductoin to photon detectors. Laboratory experiments: beam optics; longitudinal laser modes; laser-diode output characteristics.,NULL,  
ENG EC 573,Solar Energy Systems,EE Breadth,Junior OR SENIOR,ENG EK 408; ENG EC 471 is suggested.,4,Not identified.,System Control & Microsystem & Electrical Energy ,It is intended to educate students in the design and applications of solar energy technology. It will focus on fundamentals of solar energy conversion$ solar cells$ optical engineering$ photoelectrochemical cells$ thermoelectric generators$ and energy storage and distribution systems.,NULL,  
ENG EC 574,Physics of Semiconductor Materials,EE Breadth,Junior OR SENIOR,CAS PY 313 or ENG EC 410,4,ENG EC 575; ENG EC 577,Electromagnetic & Electronic Design,This course teaches the relevant notions of quantum mechanics and solid state physics necessary to understand the operation and the design of modern semiconductor devices. Specifically$ this course focuses on the engineering aspects of solid state physics that are important to study the electrical and optical properties of semiconductor materials and devices.,NULL,  
ENG EC 575,Semiconductor Devices,EE Breadth,Junior OR SENIOR,ENG EC 410; ENG EC 455; ENG EC 574; CAS PY 313,4,Not identified.,Electromagnetic & Electronic Design,Fundamentals of carrier generation$ transport$ recombination$ and storage in semiconductors.,NULL,  
ENG EC 577,Electronic Optical & Magnetic Properties of Materials,EE Breadth,Junior OR SENIOR,CAS PY 313; ENG EC 574 suggested.,4,Not identified.,Optics and Photonics,This course in intended to develop an in depth knowledge of solid state concepts that are important for students in the areas of material science and electrical engineering. Specifically$ this course focuses on the study of different apsect of solid state physics necessary to study technologically relevant crytalline and amorphous systems. Particular enphasis is placed on the study of the crystal structure$ crystal diffraction and the related techniques used as diagnostic tools; the electronic$ thermal$ optical and magnetic properties of material systems important for electronics and photonics device applications.,NULL,  
ENG EC 578,Fabrication Technology for Intergrated  Circuits,EE Breadth,Junior OR SENIOR,ENG EC 410,4,Not identified.,Electromagnetic & Electronic Design,Presentation of fabrication procedures for silicon-integrated circuits: physical properties of bulk and epitaxially grown silicon; silicon processing$ such as oxidation$ diffusion$ epitaxy$ deposition$ and ion implantation; silicon crystallography$ anisotropic etching$ photolithography$ piezorestivity$ and chemical and plasma technique.,NULL,  
ENG EC 579,Nano/Micro-Electronic Device Technology,EE Breadth,Junior OR SENIOR,ENG EC 410; ENG EC 471; CAS PY 313 or CAS PY 354,4,Not identified.,Electromagnetic & Electronic Design,Physical processes and manufacturing strategies for the fabrication and manufacture of microelectronic devices.,NULL,  
ENG EC 580,Analog VLSI Circuit Design,EE Breadth,Junior OR SENIOR,ENG EC 412,4,Not identified.,Electromagnetic & Electronic Design,Anatomy of an operational amplifier using chip design techniques. Applications of op amps in wave-shaping circuits$ active filters including capacitive switching.,NULL,  
ENG EC 582,RF/Analog IC design Fundamentals,EE Breadth,Junior OR SENIOR,ENG EC 412 or ENG EC 571,4,Not identified.,Electromagnetic & Electronic Design,Fundamentals related to CMOS and SiGe BICMOS analog circuits for RF applications. Topics include low noise amplifiers$ oscillators$ mixers$ demodulators$ phase-locked loop$ switched capacitor circuits$ A/D and D/A converters$ low power design$ RF design techniques$ and mixed-signal circuitry typical of modern telecommunications technology.,NULL,  
ENG EC 583,Power Electronics For Energy Systems,EE Breadth,Junior OR SENIOR,ENG EC 410,4,Not identified.,System Control & Microsystem & Electrical Energy ,Introduction to power electronics with emphasis on conversion circuits for energy systems.,NULL,  
ENG EC 591,Photonics Lab 1,EE Breadth,Junior OR SENIOR,CAS PY 313; ENG EC 562,4,Not identified.,Optics and Photonics,Introduction to optical measurements. Laser safety issues. Laboratory experiments: introduction to lasers and optical alignment; interference; diffraction and Fourier optics; polarization components; fiber optics; optical communications; beam optics; longitudinal laser modes. Optical simulation software tools.,NULL,  
CAS AS 414,Solar and Space Physics,technical,Senior,CAS PY 355;  CAS PY 212 or CAS PY 252,4,Not identified.,System Control & Microsystem & Electrical Energy ,The Sun and Solar Wind: solar magnetic fields$ sunspot cycle$ active sun$ corona. Interaction of the solar wind with planets and comets. Planetary Magnetospheres and Ionospheres. Aeronomy. Solar System plasma physics. Magnetic Storms and Space Weather.,NULL,  
CAS CS 440,Intro to Artificial Intelligence ,technical,Senior,CAS CS 112; CAS CS 132,4,Not identified.,Computer Engineering,Introduction to computer systems that exhibit intelligent behavior$ in particular$ perceptual and robotic systems. Topics include human computer interfaces$ computer vision$ robotics$ game playing$ pattern recognition$ knowledge representation$ planning.,NULL,  
CAS CS 480,Introduction to Computer Graphics,technical,Senior,CAS CS 112; CAS CS 132,4,Not identified.,Computer Engineering,Introduction to computer graphics algorithms$ programming methods$ and applications. Focus on fundamentals of two- and three-dimensional raster graphics: scan-conversion$ clipping$ geometric transformations$ and camera modeling. Introduces concepts in computational geometry$ computer-human interfaces$ animation$ and visual realism.,NULL,  
CAS CS 585,Image and Video Computing,technical,Senior,CAS CS 132 or CAS MA 242; CASCS112.,4,Not identified.,Computer Engineering,Introduction to images and video as multimedia data types and algorithms for image and video understanding based on color$ shading$ stereo$ and motion. Topics include face recognition$ human-computer interfaces$ animal and vehicle tracking$ and medical image analysis. ,NULL,  
CAS MA 511,Introduction to Analysis I,technical,Senior,CAS MA 225 or CAS MA 230,4,Not identified.,Computer Engineering,Fundamental concepts of mathematical reasoning. Properties of the real-number system$ elementary point-set theory$ metric spaces. Limits$ sequences$ series$ convergence$ uniform convergence$ continuity. Differentiability for functions of a single variable$ Riemann-Stieltjes integration.,NULL,  
CAS MA 528,introduction to Modern Geomegry,technical,Senior,CAS MA 225 or CAS MA 230,4,Not identified.,Computer Engineering,The foundations of Euclidean geometry. Transformation and symmetries in the plane$ inversive and projective planes$ coordinates$ conics and quadrics$ the Golden Section$ intermediary and Dedekind's axiom$ models for non-Euclidean geometries.,NULL,  
CAS MA 531,Computability and Logic,technical,Senior,CAS MA 293,4,Not identified.,Computer Engineering,The investigation of logical reasoning with mathematical methods. The syntax and semantics of sentential logic and quantificational logic. The unifying Godel Completeness Theorem$ and models of theories. A look at the Godel Incompleteness Theorem and its ramifications.,NULL,  
CAS MA 541,Modern Algebra 1,technical,Senior,No Prerequisite.,4,Not identified.,Computer Engineering,Basic properties of groups$ Sylow theorems$ basic properties of rings and ideals$ Euclidean rings$ polynomial rings.,NULL,  
CAS MA 583,Introduction to Stochastic Processes,technical,Senior,CAS MA 581 or CAS MA 381,4,Not identified.,Computer Engineering,Basic concepts and techniques of stochastic process as they are most often used to construct models for a variety of problems of practical interest. Topics include Markov chains$ Poisson process$ birth and death processes$ queuing theory$ renewal processes$ and reliability.,NULL,  
CAS PY 313,Waves and Modern Physics,technical,Senior,CAS PY 211; CAS PY 212; CAS MA 124,4,Not identified.,System Control & Microsystem & Electrical Energy ,Waves and physical optics$ relativistic mechanics$ experimental foundations of quantum mechanics$ atomic structure$ physics of molecules and solids$ atomic nuclei and elementary particles. ,NULL,  
CAS PY 451,Quantum Physics 1,technical,Senior,CAS PY 313 or CAS PY 351; CAS PY 355,4,CAS PY452,System Control & Microsystem & Electrical Energy ,Uncertainty principle; Schrodinger wave equation and applications; operators; hermitian operators and unitary transformations; harmonic oscillator; angular momentum and spin; hydrogen atom.,NULL,  
CAS PY 452,Quantum Physics 2,technical,Senior,CAS PY 451,4,Not identified.,System Control & Microsystem & Electrical Energy ,Degenerate and non-degenerate perturbation theory: hydrogen fine structure$ Zeeman effect$ helium splitting; time-dependent perturbation theory; Variational Principle; Adiabatic Approximation; scattering theory.,NULL,  
QST SI 480,The Bussiness of Technology Innovation,technical,Senior,No Prerequisite.,4,QST SI 482,Computer Engineering,Provides an introduction to entrepreneurship and business for the engineer. Topics include finding business ideas; recognizing good from bad; understanding the importance of business model; turning technology into a business$ including what to sell and how to sell it; the role of engineering within a business; business financial statements; and startups and venture capital$ including starting a company or joining a startup.,NULL,  
QST SI 482,Technology and its Commercialization,technical,Senior,QST FE 323; MK 323; OM 323; QM 323; or QST SI 480,4,Not identified.,Computer Engineering,Serves Questrom students concentrating in entrepreneurship or who are interested in high-technology sectors$ and ENG students who have taken SI480. This interdisciplinary course covers technology life-cycles$ the co-evolution of industries and technologies$ strategies for commercialization of new technologies (appropriability$ acquiring complementary assets and capabilities$ managing technical teams$ and impact of regulatory and other environmental factors on commercialization). ,NULL,  
